date,meta_cost_usd,meta_impressions,meta_clicks,meta_purchases,meta_conv_value,google_cost_usd,google_impressions,google_clicks,google_conversions,google_conv_value,tiktok_cost_usd,tiktok_impressions,tiktok_clicks,tiktok_conversions,ga_sessions,ga_ecom_purchases,sales_clp
2022-01-01,0.0,0.0,0.0,0.0,0.0,131.42,120745.0,1461.0,43.88,1094252.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,0.0,0.0,0.0,0.0,0.0,166.36,137142.0,1843.0,53.82,1421632.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0,0.0,0.0,194.54,158075.0,2021.0,74.55,1959399.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0,0.0,0.0,124.37,84851.0,1355.0,38.12,1008534.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0,0.0,0.0,66.38,79679.0,1015.0,29.05,853786.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.0,0.0,0.0,0.0,0.0,47.47,55606.0,677.0,24.8,644315.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,0.0,0.0,0.0,0.0,0.0,144.84,129250.0,1296.0,38.3,1315690.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-08,0.0,0.0,0.0,0.0,0.0,104.43,96429.0,1136.0,46.57,1390325.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,0.0,0.0,0.0,0.0,0.0,151.85,125788.0,1704.0,41.77,1325023.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-10,0.0,0.0,0.0,0.0,0.0,199.51,130614.0,1963.0,59.12,1738629.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-11,0.0,0.0,0.0,0.0,0.0,188.08,112026.0,1794.0,70.86,1866936.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,0.0,0.0,0.0,0.0,0.0,170.66,120411.0,1846.0,39.75,821139.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13,0.0,0.0,0.0,0.0,0.0,189.85,110648.0,1794.0,55.81,1268368.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,0.0,0.0,0.0,0.0,0.0,186.24,126591.0,1449.0,42.33,1059004.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-15,0.0,0.0,0.0,0.0,0.0,164.73,139101.0,1415.0,26.23,620640.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-16,0.0,0.0,0.0,0.0,0.0,208.28,161557.0,1708.0,55.18,1561472.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-17,0.0,0.0,0.0,0.0,0.0,187.95,152270.0,1603.0,42.51,1085991.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-18,0.0,0.0,0.0,0.0,0.0,173.66,149155.0,1438.0,41.75,1061200.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-19,0.0,0.0,0.0,0.0,0.0,124.03,107270.0,1381.0,30.64,838180.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-20,0.0,0.0,0.0,0.0,0.0,117.23,94052.0,1296.0,35.99,1131850.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-21,0.0,0.0,0.0,0.0,0.0,106.69,93070.0,1088.0,36.13,1048742.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-22,0.0,0.0,0.0,0.0,0.0,99.42,73488.0,1088.0,30.62,737354.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-23,0.0,0.0,0.0,0.0,0.0,160.19,109796.0,1515.0,35.48,995413.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-24,0.0,0.0,0.0,0.0,0.0,121.58,77872.0,1094.0,19.28,695738.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-25,0.0,0.0,0.0,0.0,0.0,106.11,86428.0,1194.0,39.34,940180.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-26,0.0,0.0,0.0,0.0,0.0,137.47,111955.0,1427.0,40.18,958982.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
